year,ind,age,sex,life_history,territory
0,0,0,male,primary,1.0
0,1,0,male,floater,
0,2,0,male,primary,3.0
0,3,0,male,primary,4.0
0,4,0,male,primary,5.0
0,5,0,male,floater,
0,6,0,male,floater,
0,7,0,male,floater,
0,8,0,male,floater,
0,9,0,male,floater,
0,10,0,male,floater,
0,11,0,male,floater,
0,12,0,male,floater,
0,13,0,male,floater,
0,14,0,male,floater,
0,15,0,male,floater,
0,16,0,male,floater,
0,17,0,male,floater,
0,18,0,male,floater,
0,19,0,male,floater,
0,20,0,male,floater,
0,21,0,male,floater,
0,22,0,male,floater,
0,23,0,male,floater,
0,24,0,male,floater,
0,25,0,male,floater,
0,26,0,male,floater,
0,27,0,male,floater,
0,28,0,male,floater,
0,29,0,male,floater,
0,30,0,male,floater,
0,31,0,male,floater,
0,32,0,male,floater,
0,33,0,male,floater,
0,34,0,male,floater,
0,35,0,male,floater,
0,36,0,male,floater,
0,37,0,male,floater,
0,38,0,male,floater,
0,39,0,male,floater,
0,40,0,male,floater,
0,41,0,male,floater,
0,42,0,male,floater,
0,43,0,male,floater,
0,44,0,male,floater,
0,45,0,male,floater,
0,46,0,male,floater,
0,47,0,male,floater,
0,48,0,male,floater,
0,49,0,male,floater,
0,50,0,male,floater,
0,51,0,male,floater,
0,52,0,male,floater,
0,53,0,male,floater,
0,54,0,male,floater,
0,55,0,male,floater,
0,56,0,male,floater,
0,57,0,male,floater,
0,58,0,male,floater,
0,59,0,male,floater,
0,60,0,male,floater,
0,61,0,male,floater,
0,62,0,male,floater,
0,63,0,male,floater,
0,64,0,male,floater,
0,65,0,male,floater,
0,66,0,male,floater,
0,67,0,male,floater,
0,68,0,male,floater,
0,69,0,male,floater,
0,70,0,male,floater,
0,71,0,male,floater,
0,72,0,male,floater,
0,73,0,male,floater,
0,74,0,male,floater,
0,75,0,male,floater,
0,76,0,male,floater,
0,77,0,male,floater,
0,78,0,male,floater,
0,79,0,male,floater,
0,80,0,male,floater,
0,81,0,male,floater,
0,82,0,male,floater,
0,83,0,male,floater,
0,84,0,male,floater,
0,85,0,male,floater,
0,86,0,male,floater,
0,87,0,male,floater,
0,88,0,male,floater,
0,89,0,male,floater,
0,90,0,male,floater,
0,91,0,male,floater,
0,92,0,male,floater,
0,93,0,male,floater,
0,94,0,male,floater,
0,95,0,male,floater,
0,96,0,male,floater,
0,97,0,male,floater,
0,98,0,male,floater,
0,99,0,male,floater,
0,100,0,male,floater,
0,101,0,male,floater,
0,102,0,male,floater,
0,103,0,male,floater,
0,104,0,male,floater,
0,105,0,male,floater,
0,106,0,male,floater,
0,107,0,male,floater,
0,108,0,male,floater,
0,109,0,male,floater,
0,110,0,male,floater,
0,111,0,male,floater,
0,112,0,male,floater,
0,113,0,male,floater,
0,114,0,male,floater,
0,115,0,male,floater,
0,116,0,male,floater,
0,117,0,male,floater,
0,118,0,male,floater,
0,119,0,male,floater,
0,120,0,male,floater,
0,121,0,male,floater,
0,122,0,male,floater,
0,123,0,male,floater,
0,124,0,male,floater,
0,125,0,male,floater,
0,126,0,male,floater,
0,127,0,male,floater,
0,128,0,male,floater,
0,129,0,male,floater,
0,130,0,male,floater,
0,131,0,male,floater,
0,132,0,male,floater,
0,133,0,male,floater,
0,134,0,male,floater,
0,135,0,male,floater,
0,136,0,male,floater,
0,137,0,male,floater,
0,138,0,male,floater,
0,139,0,male,floater,
0,140,0,male,floater,
0,141,0,male,floater,
0,142,0,male,floater,
0,143,0,male,floater,
0,144,0,male,floater,
0,145,0,male,floater,
0,146,0,male,floater,
0,147,0,male,floater,
0,148,0,male,floater,
0,149,0,male,floater,
0,150,0,female,floater,
0,151,0,female,floater,
0,152,0,female,floater,
0,153,0,female,floater,
0,154,0,female,floater,
0,155,0,female,floater,
0,156,0,female,floater,
0,157,0,female,floater,
0,158,0,female,floater,
0,159,0,female,floater,
0,160,0,female,floater,
0,161,0,female,floater,
0,162,0,female,floater,
0,163,0,female,floater,
0,164,0,female,floater,
0,165,0,female,floater,
0,166,0,female,floater,
0,167,0,female,floater,
0,168,0,female,floater,
0,169,0,female,floater,
0,170,0,female,floater,
0,171,0,female,floater,
0,172,0,female,floater,
0,173,0,female,floater,
0,174,0,female,floater,
0,175,0,female,floater,
0,176,0,female,floater,
0,177,0,female,floater,
0,178,0,female,floater,
0,179,0,female,floater,
0,180,0,female,floater,
0,181,0,female,floater,
0,182,0,female,floater,
0,183,0,female,floater,
0,184,0,female,floater,
0,185,0,female,floater,
0,186,0,female,floater,
0,187,0,female,floater,
0,188,0,female,floater,
0,189,0,female,floater,
0,190,0,female,floater,
0,191,0,female,floater,
0,192,0,female,floater,
0,193,0,female,floater,
0,194,0,female,floater,
0,195,0,female,floater,
0,196,0,female,floater,
0,197,0,female,floater,
0,198,0,female,floater,
0,199,0,female,floater,
0,200,0,female,floater,
0,201,0,female,floater,
0,202,0,female,floater,
0,203,0,female,floater,
0,204,0,female,floater,
0,205,0,female,floater,
0,206,0,female,floater,
0,207,0,female,floater,
0,208,0,female,floater,
0,209,0,female,floater,
0,210,0,female,primary,3.0
0,211,0,female,floater,
0,212,0,female,floater,
0,213,0,female,floater,
0,215,0,female,floater,
0,216,0,female,floater,
0,217,0,female,floater,
0,218,0,female,floater,
0,219,0,female,floater,
0,220,0,female,floater,
0,221,0,female,floater,
0,222,0,female,floater,
0,223,0,female,floater,
0,224,0,female,floater,
0,225,0,female,floater,
0,226,0,female,floater,
0,227,0,female,floater,
0,229,0,female,floater,
0,230,0,female,floater,
0,231,0,female,floater,
0,232,0,female,floater,
0,233,0,female,floater,
0,234,0,female,floater,
0,235,0,female,floater,
0,236,0,female,floater,
0,237,0,female,floater,
0,238,0,female,floater,
0,239,0,female,floater,
0,240,0,female,floater,
0,241,0,female,floater,
0,242,0,female,floater,
0,243,0,female,floater,
0,244,0,female,floater,
0,245,0,female,floater,
0,246,0,female,floater,
0,247,0,female,floater,
0,248,0,female,floater,
0,249,0,female,floater,
0,250,0,female,floater,
0,251,0,female,floater,
0,252,0,female,floater,
0,253,0,female,floater,
0,254,0,female,floater,
0,255,0,female,floater,
0,256,0,female,floater,
0,257,0,female,floater,
0,258,0,female,floater,
0,259,0,female,floater,
0,260,0,female,floater,
0,261,0,female,floater,
0,262,0,female,floater,
0,263,0,female,floater,
0,264,0,female,floater,
0,265,0,female,floater,
0,266,0,female,floater,
0,267,0,female,floater,
0,268,0,female,floater,
0,269,0,female,floater,
0,270,0,female,floater,
0,271,0,female,floater,
0,272,0,female,floater,
0,273,0,female,floater,
0,274,0,female,floater,
0,275,0,female,floater,
0,276,0,female,floater,
0,277,0,female,floater,
0,278,0,female,floater,
0,279,0,female,floater,
0,280,0,female,floater,
0,281,0,female,floater,
0,282,0,female,floater,
0,283,0,female,floater,
0,284,0,female,floater,
0,285,0,female,floater,
0,286,0,female,floater,
0,287,0,female,floater,
0,288,0,female,floater,
0,289,0,female,floater,
0,290,0,female,floater,
0,291,0,female,floater,
0,292,0,female,floater,
0,293,0,female,floater,
0,294,0,female,floater,
0,295,0,female,floater,
0,296,0,female,floater,
0,297,0,female,floater,
0,298,0,female,floater,
0,299,0,female,floater,
0,300,0,male,fledgling,3.0
1,0,1,male,primary,1.0
1,1,1,male,floater,
1,2,1,male,primary,3.0
1,3,1,male,primary,4.0
1,4,1,male,primary,5.0
1,5,1,male,floater,
1,6,1,male,floater,
1,7,1,male,floater,
1,8,1,male,floater,
1,9,1,male,floater,
1,10,1,male,floater,
1,11,1,male,floater,
1,12,1,male,floater,
1,13,1,male,floater,
1,14,1,male,floater,
1,15,1,male,floater,
1,16,1,male,floater,
1,17,1,male,floater,
1,18,1,male,floater,
1,19,1,male,floater,
1,20,1,male,floater,
1,21,1,male,floater,
1,22,1,male,floater,
1,23,1,male,floater,
1,24,1,male,floater,
1,25,1,male,floater,
1,26,1,male,floater,
1,27,1,male,floater,
1,28,1,male,floater,
1,29,1,male,floater,
1,30,1,male,floater,
1,31,1,male,floater,
1,32,1,male,floater,
1,33,1,male,floater,
1,34,1,male,floater,
1,35,1,male,floater,
1,36,1,male,floater,
1,37,1,male,floater,
1,38,1,male,floater,
1,39,1,male,floater,
1,40,1,male,floater,
1,41,1,male,floater,
1,42,1,male,floater,
1,43,1,male,floater,
1,44,1,male,floater,
1,45,1,male,floater,
1,46,1,male,floater,
1,47,1,male,floater,
1,48,1,male,floater,
1,49,1,male,floater,
1,50,1,male,floater,
1,51,1,male,floater,
1,52,1,male,floater,
1,53,1,male,floater,
1,54,1,male,floater,
1,55,1,male,floater,
1,56,1,male,floater,
1,57,1,male,floater,
1,58,1,male,floater,
1,59,1,male,floater,
1,60,1,male,floater,
1,61,1,male,floater,
1,62,1,male,floater,
1,63,1,male,floater,
1,64,1,male,floater,
1,65,1,male,floater,
1,66,1,male,floater,
1,67,1,male,floater,
1,68,1,male,floater,
1,69,1,male,floater,
1,70,1,male,floater,
1,71,1,male,floater,
1,72,1,male,floater,
1,73,1,male,floater,
1,74,1,male,floater,
1,75,1,male,floater,
1,76,1,male,floater,
1,77,1,male,floater,
1,78,1,male,floater,
1,79,1,male,floater,
1,80,1,male,floater,
1,81,1,male,floater,
1,82,1,male,floater,
1,83,1,male,floater,
1,84,1,male,floater,
1,85,1,male,floater,
1,86,1,male,floater,
1,87,1,male,floater,
1,88,1,male,floater,
1,89,1,male,floater,
1,90,1,male,floater,
1,91,1,male,floater,
1,92,1,male,floater,
1,93,1,male,floater,
1,94,1,male,floater,
1,95,1,male,floater,
1,96,1,male,floater,
1,97,1,male,floater,
1,98,1,male,floater,
1,99,1,male,floater,
1,100,1,male,floater,
1,101,1,male,floater,
1,102,1,male,floater,
1,103,1,male,floater,
1,104,1,male,floater,
1,105,1,male,floater,
1,106,1,male,floater,
1,107,1,male,floater,
1,108,1,male,floater,
1,109,1,male,floater,
1,110,1,male,floater,
1,111,1,male,floater,
1,112,1,male,floater,
1,113,1,male,floater,
1,114,1,male,floater,
1,115,1,male,floater,
1,116,1,male,floater,
1,117,1,male,floater,
1,118,1,male,floater,
1,119,1,male,floater,
1,120,1,male,floater,
1,121,1,male,floater,
1,122,1,male,floater,
1,123,1,male,floater,
1,124,1,male,floater,
1,125,1,male,floater,
1,126,1,male,floater,
1,127,1,male,floater,
1,128,1,male,floater,
1,129,1,male,floater,
1,130,1,male,floater,
1,131,1,male,floater,
1,132,1,male,floater,
1,133,1,male,floater,
1,134,1,male,floater,
1,135,1,male,floater,
1,136,1,male,floater,
1,137,1,male,floater,
1,138,1,male,floater,
1,139,1,male,floater,
1,140,1,male,floater,
1,141,1,male,floater,
1,142,1,male,floater,
1,143,1,male,floater,
1,144,1,male,floater,
1,145,1,male,floater,
1,146,1,male,floater,
1,147,1,male,floater,
1,148,1,male,floater,
1,149,1,male,floater,
1,150,1,female,floater,
1,151,1,female,floater,
1,152,1,female,floater,
1,153,1,female,floater,
1,154,1,female,floater,
1,155,1,female,floater,
1,156,1,female,floater,
1,157,1,female,floater,
1,158,1,female,floater,
1,159,1,female,floater,
1,160,1,female,floater,
1,161,1,female,floater,
1,162,1,female,floater,
1,163,1,female,floater,
1,164,1,female,floater,
1,165,1,female,floater,
1,166,1,female,floater,
1,167,1,female,floater,
1,168,1,female,floater,
1,169,1,female,floater,
1,170,1,female,floater,
1,171,1,female,floater,
1,172,1,female,floater,
1,173,1,female,floater,
1,174,1,female,floater,
1,175,1,female,floater,
1,176,1,female,floater,
1,177,1,female,floater,
1,178,1,female,floater,
1,179,1,female,floater,
1,180,1,female,floater,
1,182,1,female,floater,
1,183,1,female,floater,
1,184,1,female,floater,
1,185,1,female,floater,
1,186,1,female,floater,
1,187,1,female,floater,
1,188,1,female,floater,
1,189,1,female,floater,
1,190,1,female,floater,
1,191,1,female,floater,
1,192,1,female,floater,
1,193,1,female,floater,
1,194,1,female,floater,
1,195,1,female,floater,
1,196,1,female,floater,
1,197,1,female,floater,
1,198,1,female,floater,
1,199,1,female,floater,
1,200,1,female,floater,
1,201,1,female,floater,
1,202,1,female,floater,
1,203,1,female,floater,
1,204,1,female,floater,
1,205,1,female,floater,
1,206,1,female,floater,
1,207,1,female,floater,
1,208,1,female,floater,
1,209,1,female,floater,
1,210,1,female,primary,3.0
1,211,1,female,floater,
1,212,1,female,floater,
1,213,1,female,floater,
1,215,1,female,floater,
1,216,1,female,floater,
1,217,1,female,floater,
1,218,1,female,floater,
1,219,1,female,floater,
1,220,1,female,floater,
1,221,1,female,floater,
1,222,1,female,floater,
1,223,1,female,floater,
1,224,1,female,floater,
1,225,1,female,floater,
1,226,1,female,floater,
1,227,1,female,floater,
1,229,1,female,floater,
1,230,1,female,floater,
1,231,1,female,floater,
1,232,1,female,floater,
1,233,1,female,floater,
1,234,1,female,floater,
1,235,1,female,floater,
1,236,1,female,floater,
1,237,1,female,floater,
1,238,1,female,floater,
1,239,1,female,floater,
1,240,1,female,floater,
1,241,1,female,floater,
1,242,1,female,floater,
1,243,1,female,floater,
1,244,1,female,floater,
1,245,1,female,floater,
1,246,1,female,floater,
1,247,1,female,floater,
1,248,1,female,floater,
1,249,1,female,floater,
1,250,1,female,floater,
1,251,1,female,floater,
1,252,1,female,floater,
1,253,1,female,floater,
1,254,1,female,floater,
1,256,1,female,floater,
1,257,1,female,floater,
1,258,1,female,floater,
1,259,1,female,floater,
1,260,1,female,floater,
1,261,1,female,floater,
1,262,1,female,floater,
1,263,1,female,floater,
1,264,1,female,floater,
1,265,1,female,floater,
1,266,1,female,floater,
1,267,1,female,floater,
1,268,1,female,floater,
1,269,1,female,floater,
1,270,1,female,floater,
1,271,1,female,floater,
1,272,1,female,floater,
1,273,1,female,floater,
1,274,1,female,floater,
1,275,1,female,floater,
1,276,1,female,floater,
1,277,1,female,floater,
1,278,1,female,floater,
1,279,1,female,floater,
1,280,1,female,floater,
1,281,1,female,floater,
1,282,1,female,floater,
1,283,1,female,floater,
1,284,1,female,floater,
1,285,1,female,floater,
1,286,1,female,floater,
1,287,1,female,floater,
1,288,1,female,floater,
1,289,1,female,floater,
1,290,1,female,primary,4.0
1,291,1,female,floater,
1,292,1,female,floater,
1,293,1,female,floater,
1,294,1,female,floater,
1,295,1,female,floater,
1,296,1,female,floater,
1,297,1,female,floater,
1,298,1,female,floater,
1,299,1,female,floater,
1,300,1,male,floater,
1,301,0,female,fledgling,3.0
1,302,0,male,fledgling,4.0
2,0,2,male,primary,1.0
2,1,2,male,floater,
2,2,2,male,primary,3.0
2,3,2,male,primary,4.0
2,4,2,male,primary,5.0
2,5,2,male,floater,
2,6,2,male,floater,
2,7,2,male,floater,
2,8,2,male,floater,
2,9,2,male,floater,
2,10,2,male,floater,
2,11,2,male,floater,
2,12,2,male,floater,
2,13,2,male,floater,
2,14,2,male,floater,
2,15,2,male,floater,
2,16,2,male,floater,
2,17,2,male,floater,
2,18,2,male,floater,
2,19,2,male,floater,
2,20,2,male,floater,
2,21,2,male,floater,
2,22,2,male,floater,
2,23,2,male,floater,
2,24,2,male,floater,
2,25,2,male,floater,
2,26,2,male,floater,
2,27,2,male,floater,
2,28,2,male,floater,
2,29,2,male,floater,
2,30,2,male,floater,
2,31,2,male,floater,
2,32,2,male,floater,
2,33,2,male,floater,
2,34,2,male,floater,
2,35,2,male,floater,
2,36,2,male,floater,
2,37,2,male,floater,
2,38,2,male,floater,
2,39,2,male,floater,
2,40,2,male,floater,
2,41,2,male,floater,
2,42,2,male,floater,
2,43,2,male,floater,
2,44,2,male,floater,
2,45,2,male,floater,
2,46,2,male,floater,
2,47,2,male,floater,
2,48,2,male,floater,
2,49,2,male,floater,
2,50,2,male,floater,
2,51,2,male,floater,
2,52,2,male,floater,
2,53,2,male,floater,
2,54,2,male,floater,
2,55,2,male,floater,
2,56,2,male,floater,
2,57,2,male,floater,
2,58,2,male,floater,
2,59,2,male,floater,
2,60,2,male,floater,
2,61,2,male,floater,
2,62,2,male,floater,
2,63,2,male,floater,
2,64,2,male,floater,
2,65,2,male,floater,
2,66,2,male,floater,
2,67,2,male,floater,
2,69,2,male,floater,
2,70,2,male,floater,
2,71,2,male,floater,
2,72,2,male,floater,
2,73,2,male,floater,
2,74,2,male,floater,
2,75,2,male,floater,
2,76,2,male,floater,
2,77,2,male,floater,
2,78,2,male,floater,
2,80,2,male,floater,
2,81,2,male,floater,
2,82,2,male,floater,
2,83,2,male,floater,
2,84,2,male,floater,
2,85,2,male,floater,
2,86,2,male,floater,
2,87,2,male,floater,
2,88,2,male,floater,
2,89,2,male,floater,
2,90,2,male,floater,
2,91,2,male,floater,
2,92,2,male,floater,
2,93,2,male,floater,
2,94,2,male,floater,
2,95,2,male,floater,
2,96,2,male,floater,
2,97,2,male,floater,
2,98,2,male,floater,
2,99,2,male,floater,
2,100,2,male,floater,
2,101,2,male,floater,
2,102,2,male,floater,
2,103,2,male,floater,
2,104,2,male,floater,
2,105,2,male,floater,
2,106,2,male,floater,
2,107,2,male,floater,
2,108,2,male,floater,
2,109,2,male,floater,
2,110,2,male,floater,
2,111,2,male,floater,
2,112,2,male,floater,
